iter	Passed	Remaining
651	25924	5884
652	25970	5846
653	26008	5806
654	26053	5767
655	26095	5728
656	26139	5689
657	26168	5647
658	26211	5608
659	26252	5568
660	26292	5529
661	26332	5489
662	26370	5449
663	26408	5408
664	26446	5368
665	26484	5328
666	26519	5288
667	26560	5248
668	26595	5207
669	26632	5167
670	26667	5126
671	26701	5086
672	26741	5046
673	26776	5005
674	26817	4966
675	26857	4926
676	26895	4886
677	26932	4846
678	26975	4807
679	27020	4768
680	27061	4728
681	27104	4689
682	27141	4649
683	27189	4611
684	27235	4572
685	27280	4533
686	27325	4494
687	27371	4455
688	27418	4417
689	27464	4378
690	27504	4338
691	27544	4298
692	27592	4260
693	27637	4221
694	27685	4182
695	27729	4143
696	27780	4105
697	27827	4066
698	27871	4027
699	27913	3987
700	27962	3949
701	28020	3911
702	28069	3872
703	28123	3835
704	28164	3795
705	28213	3756
706	28257	3717
707	28294	3676
708	28332	3636
709	28365	3595
710	28403	3555
711	28445	3515
712	28488	3476
713	28525	3435
714	28565	3395
715	28604	3355
716	28645	3315
717	28687	3276
718	28732	3236
719	28768	3196
720	28812	3156
721	28852	3117
722	28889	3076
723	28926	3036
724	28964	2996
725	29003	2956
726	29043	2916
727	29081	2876
728	29119	2836
729	29161	2796
730	29200	2756
731	29240	2716
732	29274	2675
733	29316	2636
734	29355	2596
735	29395	2556
736	29440	2516
737	29476	2476
738	29511	2435
739	29549	2395
740	29585	2355
741	29624	2315
742	29661	2275
743	29704	2235
744	29744	2195
745	29785	2156
746	29823	2115
747	29861	2075
748	29900	2035
749	29944	1996
750	29984	1956
751	30026	1916
752	30063	1876
753	30105	1836
754	30148	1796
755	30191	1757
756	30228	1717
757	30268	1677
758	30306	1637
759	30349	1597
760	30384	1557
761	30427	1517
762	30471	1477
763	30503	1437
764	30541	1397
765	30583	1357
766	30624	1317
767	30664	1277
768	30706	1237
769	30744	1197
770	30785	1157
771	30827	1118
772	30867	1078
773	30907	1038
774	30947	998
775	30991	958
776	31032	918
777	31074	878
778	31116	838
779	31154	798
780	31195	758
781	31240	719
782	31283	679
783	31329	639
784	31367	599
785	31409	559
786	31455	519
787	31495	479
788	31536	439
789	31572	399
790	31607	359
791	31644	319
792	31688	279
793	31733	239
794	31783	199
795	31833	159
796	31869	119
797	31910	79
798	31953	39
799	31989	0
